"Symbol";"Poziom";"Nazwa";
B2B\Marki\BAKELS;3;BAKELS;
B2B\Marki\balador;3;balador;
B2B\Marki\Balewski;3;Balewski;
B2B\Marki\Balex;3;Balex;
B2B\Marki\Balticovo;3;Balticovo;
B2B\Marki\Barbara Decor;3;Barbara Decor;
B2B\Marki\Barima;3;Barima;
B2B\Marki\Barry Callebaut;3;Barry Callebaut;
B2B\Marki\Bartex;3;Bartex;
B2B\Marki\BasePro;3;BasePro;
B2B\Marki\Basia;3;Basia;
B2B\Marki\Bell;3;Bell;
B2B\Marki\Bellaria;3;Bellaria;
B2B\Marki\Będlewo;3;Będlewo;
B2B\Marki\Bielmar;3;Bielmar;
B2B\Marki\Bionat;3;Bionat;
B2B\Marki\Blaszka;3;Blaszka;
B2B\Marki\Bodaczów;3;Bodaczów;
B2B\Marki\Boiron;3;Boiron;
B2B\Marki\Bongiovanni;3;Bongiovanni;
B2B\Marki\Bowika;3;Bowika;
B2B\Marki\Braun;3;Braun;
B2B\Marki\Bristot;3;Bristot;
B2B\Marki\Brita;3;Brita;
B2B\Marki\Bushtrade;3;Bushtrade;
B2B\Marki\Cacao Barry;3;Cacao Barry;
B2B\Marki\Cake Craft;3;Cake Craft;
B2B\Marki\Cake Land;3;Cake Land;
B2B\Marki\Callebaut;3;Callebaut;
B2B\Marki\CARGILL;3;CARGILL;
B2B\Marki\Carif;3;Carif;
B2B\Marki\Carma;3;Carma;
B2B\Marki\Carosmak;3;Carosmak;
B2B\Marki\Casa Radicci;3;Casa Radicci;
B2B\Marki\Castelmac;3;Castelmac;
B2B\Marki\Caulet;3;Caulet;
B2B\Marki\CD;3;CD;
B2B\Marki\Ceko;3;Ceko;
B2B\Marki\Cel-milk;3;Cel-milk;
B2B\Marki\Cesarin;3;Cesarin;
B2B\Marki\ChocConcept;3;ChocConcept;
B2B\Marki\Chocovic;3;Chocovic;
B2B\Marki\Chocznia;3;Chocznia;
B2B\Marki\Chojecki;3;Chojecki;
B2B\Marki\Ciech;3;Ciech;
B2B\Marki\Cirio;3;Cirio;
B2B\Marki\Clabo;3;Clabo;
B2B\Marki\Clai;3;Clai;
B2B\Marki\Coldelite;3;Coldelite;
B2B\Marki\Comprital;3;Comprital;
B2B\Marki\Confiletas;3;Confiletas;
B2B\Marki\Credin;3;Credin;
B2B\Marki\Credin Margaryny;3;Credin Margaryny;
B2B\Marki\Credin Odense Marzipan;3;Credin Odense Marzipan;
B2B\Marki\Credin Pure Food;3;Credin Pure Food;
B2B\Marki\CSM;3;CSM;
B2B\Marki\Daisy Decor;3;Daisy Decor;
B2B\Marki\Dawn;3;Dawn;
B2B\Marki\Dawtona;3;Dawtona;
B2B\Marki\DeGraff;3;DeGraff;
B2B\Marki\Dekor Pol;3;Dekor Pol;
B2B\Marki\Delifrance;3;Delifrance;
B2B\Marki\Delta Plus;3;Delta Plus;
B2B\Marki\deltasacs;3;deltasacs;
B2B\Marki\Demarle;3;Demarle;
B2B\Marki\Develey;3;Develey;
B2B\Marki\DGF;3;DGF;
B2B\Marki\Diamant;3;Diamant;
B2B\Marki\DIJO;3;DIJO;
B2B\Marki\Dilmah;3;Dilmah;
B2B\Marki\Domogel;3;Domogel;
B2B\Marki\Doro;3;Doro;
B2B\Marki\Dossche Mills;3;Dossche Mills;
B2B\Marki\Dotykacka;3;Dotykacka;
B2B\Marki\Dreidopel;3;Dreidopel;
B2B\Marki\Drużbice;3;Drużbice;
B2B\Marki\DUET;3;DUET;
B2B\Marki\Duke;3;Duke;
B2B\Marki\Ecolab;3;Ecolab;
B2B\Marki\Eco-Trade;3;Eco-Trade;
B2B\Marki\Eko-Pol;3;Eko-Pol;
B2B\Marki\Elmar;3;Elmar;
B2B\Marki\Elmeco;3;Elmeco;
B2B\Marki\Elstar;3;Elstar;
B2B\Marki\EPG;3;EPG;
B2B\Marki\Erlenbacher;3;Erlenbacher;
B2B\Marki\Erremme;3;Erremme;
B2B\Marki\Eurial;3;Eurial;
B2B\Marki\Eurohansa;3;Eurohansa;
B2B\Marki\Evegs;3;Evegs;
B2B\Marki\Fabbri;3;Fabbri;
B2B\Marki\fanex;3;fanex;
B2B\Marki\Farm Frites;3;Farm Frites;
B2B\Marki\Farmer;3;Farmer;
B2B\Marki\Felcman;3;Felcman;
B2B\Marki\Felco;3;Felco;
B2B\Marki\Figand;3;Figand;
B2B\Marki\Flamic;3;Flamic;
B2B\Marki\Florensuc;3;Florensuc;
B2B\Marki\Folwark;3;Folwark;
B2B\Marki\Food Colours;3;Food Colours;
B2B\Marki\Forno d'Asolo;3;Forno d'Asolo;
B2B\Marki\Frantyl;3;Frantyl;
B2B\Marki\Fritar;3;Fritar;
B2B\Marki\fvz;3;fvz;
B2B\Marki\Galago;3;Galago;
B2B\Marki\Garofalo;3;Garofalo;
B2B\Marki\Gasper;3;Gasper;
B2B\Marki\gaw-pol;3;gaw-pol;
B2B\Marki\Gelpiave;3;Gelpiave;
B2B\Marki\genes;3;genes;
B2B\Marki\Gerkens;3;Gerkens;
B2B\Marki\Giaguaro;3;Giaguaro;
B2B\Marki\Głuchów;3;Głuchów;
B2B\Marki\Godifrut;3;Godifrut;
B2B\Marki\Golfera;3;Golfera;
B2B\Marki\Goliard;3;Goliard;
B2B\Marki\GOM;3;GOM;
B2B\Marki\Goodmills;3;Goodmills;
B2B\Marki\Gostyń;3;Gostyń;
B2B\Marki\Górska;3;Górska;
B2B\Marki\Grados;3;Grados;
B2B\Marki\Granarolo;3;Granarolo;
B2B\Marki\Green Fox;3;Green Fox;
B2B\Marki\Grenda;3;Grenda;
B2B\Marki\Grodcono;3;Grodcono;
B2B\Marki\Grotowski;3;Grotowski;
B2B\Marki\Hanmart;3;Hanmart;
B2B\Marki\Heinz;3;Heinz;
B2B\Marki\helcom;3;helcom;
B2B\Marki\Hellmann's;3;Hellmann's;
B2B\Marki\hellopak;3;hellopak;
B2B\Marki\Hendi;3;Hendi;
B2B\Marki\Herbapol;3;Herbapol;
B2B\Marki\hersta;3;hersta;
B2B\Marki\Hochland;3;Hochland;
B2B\Marki\hoffman;3;hoffman;
B2B\Marki\Hokus;3;Hokus;
B2B\Marki\Holger;3;Holger;
B2B\Marki\Hort-Cafe;3;Hort-Cafe;
B2B\Marki\hugli;3;hugli;
B2B\Marki\Huso;3;Huso;
B2B\Marki\IBC;3;IBC;
B2B\Marki\ICB;3;ICB;
B2B\Marki\ICC Pasłęk;3;ICC Pasłęk;
B2B\Marki\Ice Team;3;Ice Team;
B2B\Marki\icecup;3;icecup;
B2B\Marki\impexmetal;3;impexmetal;
B2B\Marki\Impuls;3;Impuls;
B2B\Marki\Indykpol;3;Indykpol;
B2B\Marki\Inna;3;Inna;
B2B\Marki\Inne;3;Inne;
B2B\Marki\Intereuropol;3;Intereuropol;
B2B\Marki\Intersolar;3;Intersolar;
B2B\Marki\ipra;3;ipra;
B2B\Marki\Ireks;3;Ireks;
B2B\Marki\izmir kebab;3;izmir kebab;
B2B\Marki\jabex;3;jabex;
B2B\Marki\Jaga;3;Jaga;
B2B\Marki\Jagr;3;Jagr;
B2B\Marki\Jar;3;JAR ;
B2B\Marki\Jasek;3;Jasek;
B2B\Marki\Jurgała;3;Jurgała;
B2B\Marki\Kalisz;3;Kalisz;
B2B\Marki\kamar;3;kamar;
B2B\Marki\Kaminiarz;3;Kaminiarz;
B2B\Marki\Kampffmayer;3;Kampffmayer;
B2B\Marki\Kandex;3;Kandex;
B2B\Marki\Kandy;3;Kandy;
B2B\Marki\Karex;3;Karex;
B2B\Marki\Kargo;3;Kargo;
B2B\Marki\Karpa-Frut;3;Karpa-Frut;
B2B\Marki\Kerry I&F;3;Kerry I&F;
B2B\Marki\Kier;3;Kier;
B2B\Marki\Kłodawa;3;Kłodawa;
B2B\Marki\Knorr;3;Knorr;
B2B\Marki\Koliber;3;Koliber;
B2B\Marki\Komplet;3;Komplet;
B2B\Marki\Konecke;3;Konecke;
B2B\Marki\Korkus;3;Korkus;
B2B\Marki\Kościan;3;Kościan;
B2B\Marki\kram;3;kram;
B2B\Marki\Krawpol-Bis;3;Krawpol-Bis;
B2B\Marki\Kruszwica;3;Kruszwica;
B2B\Marki\La Conditerra;3;La Conditerra;
B2B\Marki\La San Marco;3;La San Marco;
B2B\Marki\Laboratorium Tortellini;3;Laboratorium Tortellini;
B2B\Marki\Lactalis;3;Lactalis;
B2B\Marki\Lactopol;3;Lactopol;
B2B\Marki\Lajkonik;3;Lajkonik;
B2B\Marki\Laktopol;3;Laktopol;
B2B\Marki\Lallemand;3;Lallemand;
B2B\Marki\Lantmannen;3;Lantmannen;
B2B\Marki\Laped;3;Laped;
B2B\Marki\Lema;3;Lema;
B2B\Marki\Lena;3;Lena;
B2B\Marki\Lesaffre;3;Lesaffre;
B2B\Marki\Lesepidado;3;Lesepidado;
B2B\Marki\Libella;3;Libella;
B2B\Marki\Litex;3;Litex;
B2B\Marki\Lorenz;3;Lorenz;
B2B\Marki\Love Nature;3;Love Nature;
B2B\Marki\Luba;3;Luba;
B2B\Marki\Lubeca;3;Lubeca;
B2B\Marki\Łowicz;3;Łowicz;
B2B\Marki\Madren;3;Madren;
B2B\Marki\Mag.Mart;3;Mag.Mart;
B2B\Marki\Magic Chef;3;Magic Chef;
B2B\Marki\magorex;3;magorex;
B2B\Marki\MAKAR;3;MAKAR;
B2B\Marki\Makromilk;3;Makromilk;
B2B\Marki\Malongo;3;Malongo;
B2B\Marki\Maluta;3;Maluta;
B2B\Marki\Manuel;3;Manuel;
B2B\Marki\Mapal;3;Mapal;
B2B\Marki\Marmel;3;Marmel;
B2B\Marki\Masmal;3;Masmal;
B2B\Marki\Master Martini;3;Master Martini;
B2B\Marki\Maszewo;3;Maszewo;
B2B\Marki\Maxi Pizza;3;Maxi Pizza;
B2B\Marki\Melvit;3;Melvit;
B2B\Marki\Michaś;3;Michaś;
B2B\Marki\Międzybórz;3;Międzybórz;
B2B\Marki\Minit;3;Minit;
B2B\Marki\Miran;3;Miran;
B2B\Marki\Mitra;3;Mitra;
B2B\Marki\Mix Expert;3;Mix Expert;
B2B\Marki\Mleko Lipsko;3;Mleko Lipsko;
B2B\Marki\Mlekoma;3;Mlekoma;
B2B\Marki\Mlekowita;3;Mlekowita;
B2B\Marki\Młyn Gliwice;3;Młyn Gliwice;
B2B\Marki\Młyn Jaczkowice;3;Młyn Jaczkowice;
B2B\Marki\Młyn Strumień;3;Młyn Strumień;
B2B\Marki\Młynpol;3;Młynpol;
B2B\Marki\Młyny Stoisław;3;Młyny Stoisław;
B2B\Marki\Modecor;3;Modecor;
B2B\Marki\Mona Lisa;3;Mona Lisa;
B2B\Marki\Morello;3;Morello;
B2B\Marki\Morliny;3;Morliny;
B2B\Marki\Natalia;3;Natalia;
B2B\Marki\Nestle;3;Nestle;
B2B\Marki\Nestor;3;Nestor;
B2B\Marki\Nordzucker;3;Nordzucker;
B2B\Marki\Oerlemans;3;Oerlemans;
B2B\Marki\Oldar;3;Oldar;
B2B\Marki\Olecko;3;Olecko;
B2B\Marki\Omar;3;Omar;
B2B\Marki\One Way;3;One Way;
B2B\Marki\OPAL;3;OPAL;
B2B\Marki\Orient Taste;3;Orient Taste;
B2B\Marki\Oskroba;3;Oskroba;
B2B\Marki\OSM Bieruń;3;OSM Bieruń;
B2B\Marki\OSM Piątnica;3;OSM Piątnica;
B2B\Marki\Ostrowiec Świętok;3;Ostrowiec Świętok;
B2B\Marki\Ovopol;3;Ovopol;
B2B\Marki\Ovovita;3;Ovovita;
B2B\Marki\P&J;3;P&J;
B2B\Marki\Palsgaard;3;Palsgaard;
B2B\Marki\Panek;3;Panek;
B2B\Marki\Panem;3;Panem;
B2B\Marki\panesco;3;panesco;
B2B\Marki\Pasti;3;Pasti;
B2B\Marki\Pastry Creation;3;Pastry Creation;
B2B\Marki\Patisse;3;Patisse;
B2B\Marki\Pavoni;3;Pavoni;
B2B\Marki\Pawlas;3;Pawlas;
B2B\Marki\PHU Piątnica;3;PHU Piątnica;
B2B\Marki\Pinguin;3;Pinguin;
B2B\Marki\Pinna;3;Pinna;
B2B\Marki\Piron;3;Piron;
B2B\Marki\Polder;3;Polder;
B2B\Marki\Polmlek;3;Polmlek;
B2B\Marki\Poloplast;3;Poloplast;
B2B\Marki\polryza;3;polryza;
B2B\Marki\Polser;3;Polser;
B2B\Marki\Polska Róża;3;Polska Róża;
B2B\Marki\Polski Cukier;3;Polski Cukier;
B2B\Marki\Polskie Młyny;3;Polskie Młyny;
B2B\Marki\poltino;3;poltino;
B2B\Marki\Princes;3;Princes;
B2B\Marki\Prittchits;3;Pritchitts;
B2B\Marki\Promlecz;3;Promlecz;
B2B\Marki\Prontosfoglia;3;Prontosfoglia;
B2B\Marki\Prospona;3;Prospona;
B2B\Marki\Prymat;3;Prymat;
B2B\Marki\Pszczyna;3;Pszczyna;
B2B\Marki\Pudliszki Food Service;3;Pudliszki Food Service;
B2B\Marki\Purena;3;Purena;
B2B\Marki\Racibórz;3;Racibórz;
B2B\Marki\Rainbow;3;Rainbow;
B2B\Marki\Raj-Wafel;3;Raj-Wafel;
B2B\Marki\Rama;3;Rama;
B2B\Marki\Ratos-Natura;3;Ratos-Natura;
B2B\Marki\Receptury Agaty;3;Receptury Agaty;
B2B\Marki\Remy Cointreau;3;Remy Cointreau;
B2B\Marki\Rena;3;Rena;
B2B\Marki\Renoma;3;Renoma;
B2B\Marki\Reypol;3;Reypol;
B2B\Marki\Rio Mare;3;Rio Mare;
B2B\Marki\Riscossa;3;Riscossa;
B2B\Marki\Risso-V;3;Risso-V;
B2B\Marki\Ritpol;3;Ritpol;
B2B\Marki\Rogelfrut;3;Rogelfrut;
B2B\Marki\Rognoni;3;Rognoni;
B2B\Marki\Rolmex;3;Rolmex;
B2B\Marki\Rolnik;3;Rolnik;
B2B\Marki\Rotr;3;Rotr;
B2B\Marki\Rovagnati;3;Rovagnati;
B2B\Marki\Saeco;3;Saeco ;
B2B\Marki\Saga;3;Saga;
B2B\Marki\Sandra;3;Sandra;
B2B\Marki\Sanechem;3;Sanechem;
B2B\Marki\Savpol;3;Savpol;
B2B\Marki\Scatolificio Venezia;3;Scatolificio Venezia;
B2B\Marki\Scotton;3;Scotton;
B2B\Marki\Semix;3;Semix;
B2B\Marki\Sicao;3;Sicao;
B2B\Marki\Silesian;3;Silesian;
B2B\Marki\Silidor;3;Silidor;
B2B\Marki\Silikomart;3;Silikomart;
B2B\Marki\SM Wieprz;3;SM Wieprz;
B2B\Marki\Smak;3;Smak;
B2B\Marki\Soforek;3;Soforek;
B2B\Marki\Soligrano;3;Soligrano;
B2B\Marki\SONNEVELD;3;SONNEVELD;
B2B\Marki\Społem Kielce;3;Społem Kielce;
B2B\Marki\Spychała;3;Spychała;
B2B\Marki\Stalgast;3;Stalgast;
B2B\Marki\Staropolska;3;Staropolska;
B2B\Marki\Steno;3;Steno ;
B2B\Marki\Steriltom;3;Steriltom;
B2B\Marki\Stockmeier;3;Stockmeier;
B2B\Marki\Stokson;3;Stokson;
B2B\Marki\Suchan;3;Suchan;
B2B\Marki\Sucrea;3;Sucrea;
B2B\Marki\Suedzucker;3;Suedzucker;
B2B\Marki\Surprise;3;Surprise;
B2B\Marki\Sweet Decor;3;Sweet Decor;
B2B\Marki\Sweet Delight;3;Sweet Delight;
B2B\Marki\Sweet Mill;3;Sweet Mill;
B2B\Marki\Szczepanki;3;Szczepanki;
B2B\Marki\SZCZERCÓW;3;SZCZERCÓW;
B2B\Marki\Szczurowa;3;Szczurowa;
B2B\Marki\Szymański;3;Szymański;
B2B\Marki\Tafec;3;Tafec;
B2B\Marki\Tamipol;3;Tamipol;
B2B\Marki\Tarsmak;3;Tarsmak;
B2B\Marki\terravita;3;terravita;
B2B\Marki\Thermohauser;3;Thermohauser;
B2B\Marki\TMT;3;TMT;
B2B\Marki\Trevalli;3;Trevalli;
B2B\Marki\Trevalli Hopla;3;Trevalli Hopla;
B2B\Marki\Triopak;3;Triopak;
B2B\Marki\Turek;3;Turek;
B2B\Marki\U5;3;U5;
B2B\Marki\Uldo-P;3;Uldo-P;
B2B\Marki\UNIFET;3;UNIFET;
B2B\Marki\Unifine;3;Unifine;
B2B\Marki\Unifreeze;3;Unifreeze;
B2B\Marki\UNION CHOCOLATE;3;UNION CHOCOLATE;
B2B\Marki\Urbanek;3;Urbanek;
B2B\Marki\Valmar;3;Valmar;
B2B\Marki\Valrhona;3;Valrhona;
B2B\Marki\Valtek;3;Valtek;
B2B\Marki\Van Houten;3;Van Houten;
B2B\Marki\Vandemoortele;3;Vandemoortele;
B2B\Marki\VERA;3;VERA;
B2B\Marki\Viander;3;Viander;
B2B\Marki\Victon;3;Victon;
B2B\Marki\Viga;3;Viga;
B2B\Marki\Viotros;3;Viotros;
B2B\Marki\Vog;3;Vog;
B2B\Marki\Vortella;3;Vortella;
B2B\Marki\Vortumnus;3;Vortumnus;
B2B\Marki\Wadowice;3;Wadowice;
B2B\Marki\Waflex;3;Waflex;
B2B\Marki\Wagi Wielkopolska;3;Wagi Wielkopolska;
B2B\Marki\Wasilewski;3;Wasilewski;
B2B\Marki\Wego;3;Wego;
B2B\Marki\Wemapak;3;Wemapak;
B2B\Marki\Werner;3;Werner;
B2B\Marki\Wexiodisc;3;Wexiodisc;
B2B\Marki\Wexiodisk;3;Wexiodisk;
B2B\Marki\wiepol;3;wiepol;
B2B\Marki\Wiepol polewy;3;Wiepol polewy;
B2B\Marki\Wiórek;3;Wiórek;
B2B\Marki\Włoszczowa;3;Włoszczowa;
B2B\Marki\Września;3;Września;
B2B\Marki\zamvinex;3;zamvinex;
B2B\Marki\Zaskocz;3;Zaskocz;
B2B\Marki\Zeelandia;3;Zeelandia;
B2B\Marki\Zentis;3;Zentis;
B2B\Partnerzy;2;Partnerzy;
B2B\Partnerzy\AIT;3;AIT;
B2B\Partnerzy\AlfaPro;3;AlfaPro;
B2B\Partnerzy\Balticovo;3;Balticovo;
B2B\Partnerzy\Barbara Luijckx;3;Barbara Luijckx;
B2B\Partnerzy\Barry Callebaut;3;Barry Callebaut;
B2B\Partnerzy\Bielmar;3;Bielmar;
B2B\Partnerzy\Boiron;3;Boiron;
B2B\Partnerzy\Bongiovanni;3;Bongiovanni;
B2B\Partnerzy\Clabo;3;Clabo;
B2B\Partnerzy\Cooperlat;3;Cooperlat;
B2B\Partnerzy\CSM;3;CSM;
B2B\Partnerzy\Dijo;3;Dijo;
B2B\Partnerzy\Dossche Mills;3;Dossche Mills;
B2B\Partnerzy\Fabbri;3;Fabbri;
B2B\Partnerzy\Inter Europol;3;Inter Europol;
B2B\Partnerzy\Ireks;3;Ireks;
B2B\Partnerzy\Komplet;3;Komplet;
B2B\Partnerzy\La San Marco;3;La San Marco;
B2B\Partnerzy\Lakeland;3;Lakeland;
B2B\Partnerzy\Lesaffre;3;Lesaffre;
B2B\Partnerzy\Miran Wafel;3;Miran Wafel;
B2B\Partnerzy\One Way;3;One Way;
B2B\Partnerzy\OSM Bieruń;3;OSM Bieruń;
B2B\Partnerzy\OSM Piątnica;3;OSM Piątnica;
B2B\Partnerzy\Pietro Coricelli;3;Pietro Coricelli;
B2B\Partnerzy\Remy Cointreau;3;Remy Cointreau;
B2B\Partnerzy\Stokson;3;Stokson;
B2B\Partnerzy\Tecnomac;3;Tecnomac;
B2B\Partnerzy\Union Chocolate;3;Union Chocolate;
B2B\Partnerzy\Valmar;3;Valmar;
B2B\Partnerzy\Vandemoortele;3;Vandemoortele;
B2B\Partnerzy\Vortella;3;Vortella;
B2B\Partnerzy\Vortumnus;3;Vortumnus;
B2B\Profil produkcji;2;Profil produkcji;
B2B\Profil produkcji\Cukiernia;3;Cukiernia;
B2B\Profil produkcji\HoReCa / Food Service;3;HoReCa / Food Service;
B2B\Profil produkcji\Lodziarnia;3;Lodziarnia;
B2B\Profil produkcji\Piekarnia;3;Piekarnia;
B2B\Profil produkcji\Przemysł;3;Przemysł;
